,ID,longitude,latitude,ST,TS,TS_PCODE
63,64,97.61772919,23.80128479,Shan (North),Namhkan,MMR015010
64,65,95.5173645,23.1920433,Sagaing,Kanbalu,MMR005007
65,66,96.96781921,22.62311935,Shan (North),Kyaukme,MMR015012
66,67,98.28720856,25.93975067,Kachin,Chipwi,MMR001005
67,68,97.60356903,27.30665207,Kachin,Machanbaw,MMR001016
68,69,97.62373352,27.30093193,Kachin,Machanbaw,MMR001016
69,70,97.53361511,27.49509621,Kachin,Machanbaw,MMR001016
70,71,96.93177032,22.67341995,Shan (North),Kyaukme,MMR015012
71,72,98.21511078,24.07741737,Shan (North),Muse,MMR015009
72,73,,,Shan (North),Namhsan,MMR015016
73,74,97.19647217,22.53689384,Shan (North),Kyaukme,MMR015012
74,75,97.31559753,24.17849541,Kachin,Mansi,MMR001013
75,76,97.77426147,23.59568596,Shan (North),Kutkai,MMR015011
76,77,97.94989777,17.23041153,Kayin,Hlaingbwe,MMR003002
77,78,96.98260498,22.70077896,Shan (North),Kyaukme,MMR015012
78,79,97.81445313,23.66110992,Shan (North),Kutkai,MMR015011
79,80,97.38392639,23.02689362,Shan (North),Namtu,MMR015015
80,81,97.28710938,23.17215919,Shan (North),Namtu,MMR015015
81,82,97.76115417,20.2035656,Shan (South),Mawkmai,MMR014020
82,83,97.90509033,23.97017288,Shan (North),Muse,MMR015009
83,84,97.33843231,23.15874481,Shan (North),Namtu,MMR015015
84,85,97.39697266,23.11912346,Shan (North),Namtu,MMR015015
85,86,97.93804932,23.46221924,Shan (North),Kutkai,MMR015011
86,87,94.36595154,18.45685005,Rakhine,Thandwe,MMR012015
87,88,94.37023926,18.45446205,Rakhine,Thandwe,MMR012015
88,89,97.21466827,23.0103035,Shan (North),Namhsan,MMR015016
89,90,98.01133728,19.77647018,Shan (South),Langkho,MMR014018
90,91,95.17773438,17.09641266,Ayeyarwady,Kyaunggon,MMR017007
91,92,98.37050629,21.28465271,Shan (South),Kunhing,MMR014014
92,93,97.18166351,23.02306175,Shan (North),Namhsan,MMR015016
93,94,98.43051147,21.28641129,Shan (South),Kunhing,MMR014014
94,95,96.43933105,18.93543053,Bago (East),Taungoo,MMR007009
95,96,98.43051147,21.30688477,Shan (South),Kunhing,MMR014014
96,97,96.12078857,16.89024544,Yangon,Insein,MMR013001
97,98,96.19986725,16.78946495,Yangon,Thaketa,MMR013013
98,99,96.15857697,16.77911949,Yangon,Kyauktada,MMR013033
99,100,97.88037109,23.46349144,Shan (North),Kutkai,MMR015011
100,101,95.96417236,21.87989426,Sagaing,Sagaing,MMR005001
101,102,95.96325684,21.87150955,Sagaing,Sagaing,MMR005001
102,103,97.68536377,23.81784058,Shan (North),Namhkan,MMR015010
103,104,97.68353271,23.82609749,Shan (North),Namhkan,MMR015010
104,105,97.29737854,24.11559486,Kachin,Mansi,MMR001013
105,106,97.93351746,23.44788933,Shan (North),Kutkai,MMR015011
106,107,97.30115509,24.11521339,Kachin,Mansi,MMR001013
107,108,97.98062134,19.759838100000003,Shan (South),Langkho,MMR014018
108,109,97.93626404,23.44788933,Shan (North),Kutkai,MMR015011
109,110,96.63438416,23.4756031,Shan (North),Mabein,MMR015018
